keys,pt_BR,en,es,fr
LEADERBOARD_COL_KILLS,Kills,Kills,Bajas,Éliminations
LEADERBOARD_COL_DAMAGE,Dano,Damage,Daño,Dégâts
LEADERBOARD_COL_VERSION,Versão,Version,Versión,Version
LEADERBOARD_NO_SCORES,Nenhum score nessa versão.,No scores for this version.,Sin puntuaciones para esta versión.,Aucun score pour cette version.
LEADERBOARD_ERROR,Erro: %s,Error: %s,Error: %s,Erreur : %s
LEADERBOARD_TAB_WAVES,Por Waves,By Raids,Por Raids,Par Raids
LEADERBOARD_TAB_TIME21,Tempo até o 21,Time to 21,Tiempo al 21,Temps jusqu'au 21
LEADERBOARD_BEST_TIME21,Seu melhor tempo até o 21,Your best time to 21,Tu mejor tiempo al 21,Votre meilleur temps jusqu'au 21
LEADERBOARD_TIME21_NONE,Vença o 2º boss para registrar seu tempo.,Beat the 2nd boss to log your time.,Vence al 2º jefe para registrar tu tiempo.,Battez le 2e boss pour enregistrer votre temps.
LEADERBOARD_TIME21_GLOBAL_SOON,Ranking global em breve.,Global ranking coming soon.,Ranking global muy pronto.,Classement mondial bientôt.
LEADERBOARD_TIME21_EMPTY,Ninguém venceu a wave 21 ainda. Seja o primeiro!,Nobody has beaten wave 21 yet. Be the first!,¡Nadie ha vencido la oleada 21 todavía. Sé el primero!,Personne n'a encore battu la vague 21. Soyez le premier !
LEADERBOARD_VIEW_BUILD,Ver build,View build,Ver build,Voir le build
LEADERBOARD_BUILD_NONE,Build não registrada nesta run.,Build not recorded for this run.,Build no registrada en esta partida.,Build non enregistré pour cette partie.
LEADERBOARD_BUILD_CAT_ELEMENTAL,Elemental,Elemental,Elemental,Élémentaire
LEADERBOARD_BUILD_CAT_STANDARD,Upgrades padrão,Standard upgrades,Mejoras estándar,Améliorations standard
LEADERBOARD_BUILD_CAT_STATUS,Status,Status,Estado,Statut
LEADERBOARD_BUILD_CAT_ALLIES,Aliados,Allies,Aliados,Alliés
LEADERBOARD_BUILD_CAT_ITEMS,Itens,Items,Objetos,Objets
LEADERBOARD_ARCHIVE_TOOLTIP,Runs antigas (temporada anterior),Old runs (previous season),Partidas antiguas (temporada anterior),Anciennes parties (saison précédente)
LEADERBOARD_ARCHIVE_BACK,Voltar ao ranking atual,Back to current ranking,Volver al ranking actual,Retour au classement actuel
PLAYER_TITLE,INVENTÁRIO,INVENTORY,INVENTARIO,INVENTAIRE
PLAYER_PROGRESS_HEADER,PROGRESSO,PROGRESS,PROGRESO,PROGRÈS
PLAYER_EMPTY,"Nenhuma skin disponível.
Drop PNGs em assets/player/<slot>/ pra criar variantes.","No skins available.
Drop PNGs in assets/player/<slot>/ to create variants.","Sin skins disponibles.
Suelta PNGs en assets/player/<slot>/ para crear variantes.","Aucune apparence disponible.
Déposez des PNG dans assets/player/<slot>/ pour créer des variantes."
PLAYER_SLOT_BODY,Corpo,Body,Cuerpo,Corps
PLAYER_SLOT_LEGS,Calça,Pants,Pantalón,Pantalon
PLAYER_SLOT_SHIRT,Camisa,Shirt,Camisa,Chemise
PLAYER_SLOT_ALFAJA,Alfaja,Sash,Faja,Ceinture
PLAYER_SLOT_CAPE,Capa e Máscara,Cape & Mask,Capa y Máscara,Cape et Masque
PLAYER_SLOT_QUIVER,Aljava,Quiver,Aljaba,Carquois
PLAYER_SLOT_HAIR,Cabelo,Hair,Cabello,Cheveux
PLAYER_SLOT_BOW,Arco,Bow,Arco,Arc
PLAYER_SLOT_KITS,Kits,Kits,Kits,Kits
INVENTORY_ITEMS_TAB,Itens,Items,Objetos,Objets
INVENTORY_MODE_SKINS,Skins,Skins,Skins,Skins
INVENTORY_MODE_EQUIP,Equipamentos,Equipment,Equipamiento,Équipement
INVENTORY_EQUIPPED,Equipado,Equipped,Equipado,Équipé
INVENTORY_EQUIP,Equipar,Equip,Equipar,Équiper
INVENTORY_DRAG_HINT,Arraste até 3 itens para os espaços,Drag up to 3 items into the slots,Arrastra hasta 3 objetos a las casillas,Glissez jusqu'à 3 objets dans les emplacements
ITEM_MIDNIGHT_DAGGER_NAME,Adaga da Meia-Noite,Midnight Dagger,Daga de Medianoche,Dague de Minuit
ITEM_MIDNIGHT_DAGGER_DESC,"Você começa a run com +1 nível de Dano, somando aos upgrades que comprar na loja.","You start the run with +1 Damage level, stacking with the upgrades you buy in the shop.","Empiezas la partida con +1 nivel de Daño, sumándose a las mejoras que compres en la tienda.","Vous commencez la partie avec +1 niveau de Dégâts, qui s'ajoute aux améliorations achetées en boutique."
ITEM_GOLDEN_BOW_NAME,Arco Dourado,Golden Bow,Arco Dorado,Arc Doré
ITEM_GOLDEN_BOW_DESC,"Você começa a run com +1 nível de Velocidade de Ataque, somando aos upgrades da loja.","You start the run with +1 Attack Speed level, stacking with the shop upgrades.","Empiezas la partida con +1 nivel de Velocidad de Ataque, sumándose a las mejoras de la tienda.","Vous commencez la partie avec +1 niveau de Vitesse d'Attaque, qui s'ajoute aux améliorations de la boutique."
ITEM_ELEMENTAL_MASTER_NAME,Mestre Elemental,Elemental Master,Maestro Elemental,Maître Élémentaire
ITEM_ELEMENTAL_MASTER_DESC,"No presente de boas-vindas, em vez de um upgrade aleatório, você escolhe 1 entre 3 elementais.","On the welcome gift, instead of a random upgrade, you choose 1 of 3 elementals.","En el regalo de bienvenida, en vez de una mejora aleatoria, eliges 1 entre 3 elementales.","Dans le cadeau de bienvenue, au lieu d'une amélioration aléatoire, vous choisissez 1 élémentaire parmi 3."
ITEM_ADOPT_ONE_MORE_NAME,Adote Mais Um,Adopt One More,Adopta Uno Más,Adoptez-en un de Plus
ITEM_ADOPT_ONE_MORE_DESC,"Enquanto equipado, você ganha +1 espaço de Aliado.","While equipped, you gain +1 Ally slot.","Mientras está equipado, ganas +1 espacio de Aliado.","Une fois équipé, vous gagnez +1 emplacement d'Allié."
ITEM_ARCANE_DIVIDEND_NAME,Dividendo Arcano,Arcane Dividend,Dividendo Arcano,Dividende Arcanique
ITEM_ARCANE_DIVIDEND_DESC,Ao fim de cada round: 50% de chance de ganhar +1 de gold extra e 2% de chance de ganhar +2.,At the end of every round: 50% chance to gain +1 extra gold and 2% chance to gain +2.,Al final de cada ronda: 50% de probabilidad de ganar +1 de oro extra y 2% de ganar +2.,À la fin de chaque manche : 50% de chance de gagner +1 d'or et 2% de chance d'en gagner +2.
ITEM_UNLOCK_HOW,Como liberar:,How to unlock:,Cómo desbloquear:,Comment débloquer :
ITEM_UNLOCK_SHOP,Disponível na loja,Available in the shop,Disponible en la tienda,Disponible en boutique
ITEM_REQ_ADOPT_HEAL,Cure 1500 de vida usando um Aliado,Heal 1500 HP using an Ally,Cura 1500 de vida usando un Aliado,Soignez 1500 PV avec un Allié
ITEM_REQ_ADOPT_KILLS,Acumule 300 eliminações de um Aliado,Get 300 kills from an Ally,Acumula 300 eliminaciones de un Aliado,Accumulez 300 éliminations d'un Allié
ITEM_REQ_ARCANE_GOLD,Gaste 2500 de gold no total,Spend 2500 gold in total,Gasta 2500 de oro en total,Dépensez 2500 d'or au total
ITEM_LUCKY_NAME,Estou com Sorte,Feeling Lucky,Tengo Suerte,J'ai de la Chance
ITEM_LUCKY_DESC,"Ao abrir cada loja, há 40% de chance da primeira rolagem de itens sair de graça (0 de gold).","When each shop opens, there's a 40% chance the first item roll is free (0 gold).","Al abrir cada tienda, hay 40% de probabilidad de que la primera tirada de objetos sea gratis (0 de oro).","À l'ouverture de chaque boutique, 40% de chance que le premier tirage d'objets soit gratuit (0 d'or)."
ITEM_REQ_LUCKY,Limpe uma wave em Twilight Quiver,Clear a wave in Twilight Quiver,Supera una oleada en Twilight Quiver,Terminez une vague dans Twilight Quiver
ITEM_REQ_ELEMENTAL,Compre a Roleta Elemental 5 vezes,Buy the Elemental Roulette 5 times,Compra la Ruleta Elemental 5 veces,Achetez la Roulette Élémentaire 5 fois
ITEM_CHAMADO_PALHACO_NAME,Chamado do Palhaço,Clown's Call,Llamada del Payaso,Appel du Clown
ITEM_CHAMADO_PALHACO_DESC,A carta Último Desejo aparece 4× mais na loja e pode surgir duas vezes por run — a segunda custa 20 de gold.,The Last Wish card shows up 4× more often in the shop and can appear twice per run — the second one costs 20 gold.,La carta Último Deseo aparece 4× más en la tienda y puede salir dos veces por partida — la segunda cuesta 20 de oro.,La carte Dernier Souhait apparaît 4× plus souvent en boutique et peut surgir deux fois par partie — la deuxième coûte 20 d'or.
ITEM_REQ_JOKER,Use o Último Desejo 25 vezes,Use Last Wish 25 times,Usa Último Deseo 25 veces,Utilisez Dernier Souhait 25 fois
ITEM_CAPACETE_VELOZ_NAME,Capacete Veloz,Swift Helmet,Casco Veloz,Casque Rapide
ITEM_CAPACETE_VELOZ_DESC,Cada nível de Armadura que você tem te dá +3% de chance de Dodge (esquivar o ataque inteiro).,Each Armor level you have grants +3% Dodge chance (avoid the whole hit).,Cada nivel de Armadura que tienes te da +3% de probabilidad de Esquiva (evitar el golpe entero).,Chaque niveau d'Armure que vous avez octroie +3% de chance d'Esquive (éviter tout le coup).
ITEM_REQ_CAPACETE,Compre Armadura antes da wave 4 e vença o 1º boss na mesma run,Buy Armor before wave 4 and defeat the first boss in the same run,Compra Armadura antes de la oleada 4 y vence al primer jefe en la misma partida,Achetez de l'Armure avant la vague 4 et battez le premier boss dans la même partie
ITEM_ESSENCIA_VITAL_NAME,Essência Vital,Vital Essence,Esencia Vital,Essence Vitale
ITEM_ESSENCIA_VITAL_DESC,Cada status de HP também dá -7% de cooldown (até -50%) e +5 de HP máximo.,Each HP upgrade also grants -7% cooldown (up to -50%) and +5 max HP.,Cada mejora de HP también da -7% de enfriamiento (hasta -50%) y +5 de HP máximo.,Chaque amélioration de PV octroie aussi -7% de temps de recharge (jusqu'à -50%) et +5 PV max.
ITEM_REQ_ESSENCIA_VITAL,Vença o boss da wave 7 com ao menos 2 status de HP,Beat the wave 7 boss with at least 2 HP upgrades,Vence al jefe de la oleada 7 con al menos 2 mejoras de HP,Battez le boss de la vague 7 avec au moins 2 améliorations de PV
ITEM_SANGUINARIO_NAME,Sanguinário,Bloodthirsty,Sanguinario,Sanguinaire
ITEM_SANGUINARIO_DESC,"Enquanto sua vida estiver abaixo de 40%, você causa +30% de dano em todas as fontes. O bônus some assim que você cura de volta para 40% ou mais.","While your health is below 40%, you deal +30% damage from all sources. The bonus fades the moment you heal back to 40% or more.","Mientras tu vida esté por debajo del 40%, causas +30% de daño de todas las fuentes. El bono desaparece en cuanto te curas al 40% o más.","Tant que votre vie est sous 40%, vous infligez +30% de dégâts de toutes les sources. Le bonus disparaît dès que vous remontez à 40% ou plus."
ITEM_CAJADO_CREPUSCULO_NAME,Cajado do Crepúsculo,Twilight Staff,Bastón del Crepúsculo,Bâton du Crépuscule
ITEM_CAJADO_CREPUSCULO_DESC,"+35% de dano em todas as skills (ativáveis e automáticas) e nos seus Aliados, e o drop de Relógios sobe para 4%. Em troca, suas flechas — normais e especiais (perfuração, múltipla, ricochete, água, pedra) — causam -30% de dano.","+35% damage to all skills (activatable and automatic) and to your Allies, and the Clock drop rate rises to 4%. In return, your arrows — normal and special (pierce, multi, ricochet, water, stone) — deal -30% damage.","+35% de daño en todas las habilidades (activables y automáticas) y en tus Aliados, y el drop de Relojes sube a 4%. A cambio, tus flechas — normales y especiales (perforación, múltiple, rebote, agua, piedra) — causan -30% de daño.","+35% de dégâts sur toutes les compétences (activables et automatiques) et sur vos Alliés, et le taux de drop des Horloges monte à 4%. En échange, vos flèches — normales et spéciales (perforation, multiple, ricochet, eau, pierre) — infligent -30% de dégâts."
ITEM_NO_LIMITE_NAME,No Limite,On the Edge,Al Límite,À la Limite
ITEM_NO_LIMITE_DESC,"Você começa a run com apenas 50 de HP máximo e o upgrade de HP some da loja. Em troca, já começa com +1 de Velocidade de Movimento e Chuva de Coins no Nível 2.","You start the run with only 50 max HP and the HP upgrade is removed from the shop. In return, you start with +1 Move Speed and Coin Rain at Level 2.","Empiezas la partida con solo 50 de HP máximo y la mejora de HP desaparece de la tienda. A cambio, empiezas con +1 de Velocidad de Movimiento y Lluvia de Monedas en Nivel 2.","Vous commencez la partie avec seulement 50 PV max et l'amélioration de PV disparaît de la boutique. En échange, vous commencez avec +1 Vitesse de Déplacement et Pluie de Pièces au Niveau 2."
ITEM_REQ_NO_LIMITE,Elimine 500 inimigos com 50% de HP ou menos,Kill 500 enemies while at 50% HP or less,Elimina 500 enemigos con 50% de HP o menos,Éliminez 500 ennemis avec 50% de PV ou moins
PLAYER_STAT_MAX_WAVE,Wave máxima,Max raid,Raid máximo,Raid max
PLAYER_STAT_KILLS,Inimigos mortos,Enemies killed,Enemigos eliminados,Ennemis tués
PLAYER_STAT_DAMAGE,Dano causado,Damage dealt,Daño causado,Dégâts infligés
PLAYER_STAT_RUNS,Runs,Runs,Partidas,Parties
PLAYER_QUEST_RED_VELVET,Alcance a raid 10,Reach raid 10,Alcanza el raid 10,Atteignez le raid 10
HUD_DASH_READY,Pronto,Ready,Listo,Prêt
HUD_RAID_INTRO,Raid %d,Raid %d,Raid %d,Raid %d
HUD_WAVE_CLEARED,%d° horda concluída,Raid %d cleared,Raid %d completado,Raid %d terminé
HUD_DODGE_MISS,MISS,MISS,FALLÓ,RATÉ
DMG_PANEL_TITLE,DANO NA WAVE,WAVE DAMAGE,DAÑO DEL RAID,DÉGÂTS DU RAID
DMG_PANEL_TOTAL,Total: %d,Total: %d,Total: %d,Total : %d
DMG_PANEL_EMPTY,Sem dano causado ainda,No damage dealt yet,Sin daño aún,Aucun dégât pour l'instant
DMG_PANEL_ARROW,Flecha,Arrow,Flecha,Flèche
DMG_PANEL_MULTI_ARROW,Multi-flecha,Multi-shot,Multi-flecha,Multi-flèche
DMG_PANEL_DOUBLE_ARROWS,Flechas Duplas,Double Arrows,Flechas dobles,Flèches doubles
DMG_PANEL_PERFURACAO,Perfuração,Pierce,Perforación,Perforation
DMG_PANEL_RICOCHET,Ricochete,Ricochet,Rebote,Ricochet
DMG_PANEL_SPECTRAL,Flecha Espectral,Spectral Arrow,Flecha Espectral,Flèche Spectrale
DMG_PANEL_TIDE_SPLASH,Splash Fúria da Maré,Tide Splash,Salpicadura Furia de la Marea,Éclaboussure Fureur de la Marée
DMG_PANEL_FIRE_DOT,Queimadura,Burn,Quemadura,Brûlure
DMG_PANEL_FIRE_SKILL,Skill de Fogo,Fire Skill,Habilidad de Fuego,Compétence Feu
DMG_PANEL_CURSE_DOT,Maldição (DoT),Curse (DoT),Maldición (DoT),Malédiction (DoT)
DMG_PANEL_ICE_DOT,Gelo (DoT),Ice (DoT),Hielo (DoT),Glace (DoT)
DMG_PANEL_CURSE_SKILL,Feixe da Maldição,Curse Beam,Rayo de Maldición,Rayon de Malédiction
DMG_PANEL_CHAIN,Cadeia de Raios,Chain Lightning,Cadena Eléctrica,Chaîne d'Éclairs
DMG_PANEL_CHAIN_AUTO,Auto-raio,Auto-bolt,Auto-rayo,Auto-éclair
DMG_PANEL_CHAIN_SKILL,Skill de Raios,Lightning Skill,Habilidad Eléctrica,Compétence Foudre
DMG_PANEL_GRAVITON,Gráviton,Graviton,Gravitón,Graviton
DMG_PANEL_TOWER,Torre de Flechas,Arrow Tower,Torre de Flechas,Tour à Flèches
DMG_PANEL_TING,Mecânico Ting,Ting,Ting,Ting
DMG_PANEL_CLAUDIO_DRUIDA,Claudio o Druida,Claudio the Druid,Claudio el Druida,Claudio le Druide
DMG_PANEL_LENO,Leno,Leno,Leno,Leno
DMG_PANEL_TILISKO,Tilisko,Tilisko,Tilisko,Tilisko
DMG_PANEL_CAPIVARA,Capivara Joe,Capybara Joe,Capivara Joe,Capybara Joe
DMG_PANEL_MINI_MAGO,Mini Mago,Mini Mage,Mini Mago,Mini Mage
DMG_PANEL_CURSE_ALLY,Aliados Flecha Profana,Curse Arrow Allies,Aliados Flecha Profana,Alliés Flèche Maudite
HUD_DEATH_SCORE,SCORE %d,SCORE %d,SCORE %d,SCORE %d
HUD_DEATH_SURVIVAL,Sobreviveu %d waves,Survived %d raids,Sobreviviste %d raids,Survécu à %d raids
HUD_PETAL_DEPOSIT,+%d pétalas depositadas (banco: %d),+%d petals deposited (bank: %d),+%d pétalos depositados (banco: %d),+%d pétales déposés (banque : %d)
HUD_REPLAY_DEATH_BUTTON,Ver replay da morte,Watch death replay,Ver repetición,Revoir la mort
HUD_REPLAY_TITLE,REPLAY,REPLAY,REPLAY,REJOUER
HUD_REPLAY_AGAIN,Ver novamente,Watch again,Ver de nuevo,Revoir
HUD_REPLAY_SAVE,Gravar replay,Save replay,Guardar repetición,Enregistrer
HUD_REPLAY_SAVED,Replay salvo em: %s,Replay saved to: %s,Repetición guardada en: %s,Replay enregistré dans : %s
HUD_REPLAY_SAVE_FAIL,Falha ao salvar o replay,Failed to save replay,Error al guardar,Échec de l'enregistrement
HUD_DEATH_BY_UNKNOWN,Morto por causa desconhecida,Killed by unknown cause,Muerto por causa desconocida,Tué par cause inconnue
HUD_DEATH_BY_MELEE,Morto pelo bote do macaco furioso,Killed by the angry monkey's strike,Muerto por el embate del mono furioso,Tué par l'attaque du singe enragé
HUD_DEATH_BY_MONKEY,Morto pelo golpe do macaco,Killed by the monkey's blow,Muerto por el golpe del mono,Tué par le coup du singe
HUD_DEATH_BY_STONE_CUBE,Morto pelo cubo de pedra,Killed by the stone cube,Muerto por el cubo de piedra,Tué par le cube de pierre
HUD_DEATH_BY_INSECT,Morto pelo cuspe do inseto,Killed by the insect's spit,Muerto por la escupida del insecto,Tué par le crachat de l'insecte
HUD_DEATH_BY_INSECT_POISON,Morto pelo veneno do inseto,Killed by the insect's poison,Muerto por el veneno del insecto,Tué par le poison de l'insecte
HUD_DEATH_BY_DARK_BALL,Morto pelo ataque da Dark Ball,Killed by the Dark Ball's strike,Muerto por el ataque de la Dark Ball,Tué par l'attaque de la Dark Ball
HUD_DEATH_BY_DARK_BALL_BURN,Morto pelo veneno da Dark Ball,Killed by the Dark Ball's venom,Muerto por el veneno de la Dark Ball,Tué par le venin de la Dark Ball
HUD_DEATH_BY_DARK_BALL_VENOM,Morto pela fumaça de veneno da Dark Ball,Killed by the Dark Ball's venom smoke,Muerto por la niebla venenosa de la Dark Ball,Tué par la brume toxique de la Dark Ball
HUD_DEATH_BY_MAGE,Morto pelo tiro do mago,Killed by the mage's shot,Muerto por el disparo del mago,Tué par le tir du mage
HUD_DEATH_BY_SUMMONER_MAGE,Morto pelo tiro do mago invocador,Killed by the summoner mage's shot,Muerto por el disparo del mago invocador,Tué par le tir du mage invocateur
HUD_DEATH_BY_FIRE_MAGE,Morto pelo tiro do mago de fogo,Killed by the fire mage's shot,Muerto por el disparo del mago de fuego,Tué par le tir du mage de feu
HUD_DEATH_BY_ICE_MAGE,Morto pelo tiro do mago de gelo,Killed by the ice mage's shot,Muerto por el disparo del mago de hielo,Tué par le tir du mage de glace
HUD_DEATH_BY_ELECTRIC_MAGE,Morto pelo raio do mago elétrico,Killed by the electric mage's lightning,Muerto por el rayo del mago eléctrico,Tué par l'éclair du mage électrique
HUD_DEATH_BY_MAGE_MONKEY,Morto pelo tiro do gorila mago,Killed by the mage gorilla's shot,Muerto por el disparo del gorila mago,Tué par le tir du gorille mage
HUD_DEATH_BY_MAGE_MONKEY_BEAM,Morto pelo raio laser do gorila mago,Killed by the mage gorilla's laser beam,Muerto por el rayo láser del gorila mago,Tué par le rayon laser du gorille mage
HUD_DEATH_BY_DUSKROSE,Morto pela Duskrose,Killed by Duskrose,Muerto por Duskrose,Tué par Duskrose
HUD_DEATH_BY_DUSKROSE_SMOKE,Morto pela nuvem de veneno da Duskrose,Killed by Duskrose's poison cloud,Muerto por la nube de veneno de Duskrose,Tué par le nuage de poison de Duskrose
HUD_DEATH_BY_DUSKROSE_VINE,Morto pelas vinhas espinhosas da Duskrose,Killed by Duskrose's thorny vines,Muerto por las espinas de Duskrose,Tué par les ronces de Duskrose
HUD_DEATH_BY_DUSKROSE_THORN_WALL,Morto pela barreira de espinhos,Killed by the thorn wall,Muerto por la muralla de espinas,Tué par le mur d'épines
HUD_DEATH_BY_DUSKROSE_TOXIC,Morto pelo véu tóxico da Duskrose,Killed by Duskrose's toxic veil,Muerto por el velo tóxico de Duskrose,Tué par le voile toxique de Duskrose
HUD_DEATH_BY_DUSKROSE_PROJECTILE,Morto pelos projéteis da Duskrose,Killed by Duskrose's projectiles,Muerto por los proyectiles de Duskrose,Tué par les projectiles de Duskrose
HUD_DEATH_BY_DUSKROSE_DASH,Morto pelo investida da Duskrose,Killed by Duskrose's lunge,Muerto por la embestida de Duskrose,Tué par la charge de Duskrose
HUD_DEATH_BY_ROSE_MONSTER,Morto pelo cuspe da Rosa Monstro,Killed by Rose Monster's spit,Muerto por el escupitajo de la Rosa Monstruo,Tué par le crachat de Rose Monstre
HUD_HINT_MOVE,Movimentar,Move,Moverse,Se déplacer
HUD_HINT_ATTACK,Atirar,Shoot,Disparar,Tirer
HUD_HINT_SKILL_SPACE,Habilidade,Ability,Habilidad,Compétence
HUD_HINT_SKILL_Q,Habilidade,Ability,Habilidad,Compétence
HUD_DEATH_RESTART,Jogar Novamente,Play Again,Jugar de nuevo,Rejouer
HUD_DEATH_MENU,Voltar ao Menu,Back to Menu,Volver al menú,Retour au menu
HUD_DEATH_STATS,"Tempo: %s
Inimigos mortos: %d
Aliados feitos: %d
Dano causado: %d
Dano sofrido: %d","Time: %s
Enemies killed: %d
Allies made: %d
Damage dealt: %d
Damage taken: %d","Tiempo: %s
Enemigos eliminados: %d
Aliados creados: %d
Daño causado: %d
Daño recibido: %d","Temps : %s
Ennemis tués : %d
Alliés créés : %d
Dégâts infligés : %d
Dégâts subis : %d"
